,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
232,Month_36,False,4,150,0.9446494464944649,0.8362068965517241
233,Month_36,False,4,200,0.9446494464944649,0.8275862068965517
234,Month_36,False,5,25,0.948339483394834,0.8362068965517241
235,Month_36,False,5,50,0.9704797047970479,0.8362068965517241
236,Month_36,False,5,75,0.974169741697417,0.8275862068965517
237,Month_36,False,5,100,0.9704797047970479,0.8275862068965517
238,Month_36,False,5,150,0.9704797047970479,0.8275862068965517
239,Month_36,False,5,200,0.977859778597786,0.8275862068965517
240,Month_36,False,6,25,0.985239852398524,0.8362068965517241
241,Month_36,False,6,50,0.988929889298893,0.8362068965517241
242,Month_36,False,6,75,0.992619926199262,0.8448275862068966
243,Month_36,False,6,100,0.992619926199262,0.8448275862068966
244,Month_36,False,6,150,0.996309963099631,0.8448275862068966
245,Month_36,False,6,200,0.996309963099631,0.8362068965517241
246,Month_36,False,7,25,1.0,0.8362068965517241
247,Month_36,False,7,50,1.0,0.8362068965517241
248,Month_36,False,7,75,1.0,0.8448275862068966
249,Month_36,False,7,100,1.0,0.8448275862068966
250,Month_36,False,7,150,1.0,0.8448275862068966
251,Month_36,False,7,200,1.0,0.8362068965517241
252,Month_36,False,8,25,1.0,0.8362068965517241
253,Month_36,False,8,50,1.0,0.8362068965517241
254,Month_36,False,8,75,1.0,0.8448275862068966
255,Month_36,False,8,100,1.0,0.8448275862068966
256,Month_36,False,8,150,1.0,0.8448275862068966
257,Month_36,False,8,200,1.0,0.8362068965517241
258,Month_36,False,9,25,1.0,0.8448275862068966
259,Month_36,False,9,50,1.0,0.8362068965517241
260,Month_36,False,9,75,1.0,0.8362068965517241
261,Month_36,False,9,100,1.0,0.8448275862068966
262,Month_36,False,9,150,1.0,0.8448275862068966
263,Month_36,False,9,200,1.0,0.8362068965517241
264,Month_36,False,10,25,1.0,0.8448275862068966
265,Month_36,False,10,50,1.0,0.8362068965517241
266,Month_36,False,10,75,1.0,0.8362068965517241
267,Month_36,False,10,100,1.0,0.8448275862068966
268,Month_36,False,10,150,1.0,0.8362068965517241
269,Month_36,False,10,200,1.0,0.8362068965517241
270,Month_48,False,2,25,0.9577464788732394,0.9333333333333333
271,Month_48,False,2,50,0.9436619718309859,0.9666666666666667
272,Month_48,False,2,75,0.9577464788732394,0.9666666666666667
273,Month_48,False,2,100,0.9436619718309859,0.9666666666666667
274,Month_48,False,2,150,0.9577464788732394,0.9666666666666667
275,Month_48,False,2,200,0.9577464788732394,0.9666666666666667
276,Month_48,False,3,25,0.971830985915493,0.9666666666666667
277,Month_48,False,3,50,0.9859154929577465,0.9666666666666667
278,Month_48,False,3,75,1.0,0.9666666666666667
279,Month_48,False,3,100,1.0,0.9666666666666667
280,Month_48,False,3,150,1.0,0.9666666666666667
