,Dataset,Selective,K Value,Training Accuracy,Testing Accuracy
84,Month_12,True,10,0.8792372881355932,0.8078817733990148
85,Month_12,True,11,0.8813559322033898,0.8275862068965517
86,Month_12,True,12,0.885593220338983,0.8423645320197044
87,Month_12,True,13,0.8813559322033898,0.8472906403940886
88,Month_18,True,3,0.8644859813084113,0.8131868131868132
89,Month_18,True,4,0.8644859813084113,0.8131868131868132
90,Month_18,True,5,0.8644859813084113,0.8351648351648352
91,Month_18,True,6,0.8691588785046729,0.8241758241758241
92,Month_18,True,7,0.8551401869158879,0.8241758241758241
93,Month_18,True,8,0.8457943925233645,0.8131868131868132
94,Month_18,True,9,0.8551401869158879,0.8241758241758241
95,Month_18,True,10,0.8644859813084113,0.7912087912087912
96,Month_18,True,11,0.8504672897196262,0.8241758241758241
97,Month_18,True,12,0.8598130841121495,0.7912087912087912
98,Month_18,True,13,0.8551401869158879,0.8241758241758241
99,Month_24,True,3,0.8994845360824743,0.8192771084337349
100,Month_24,True,4,0.8762886597938144,0.7891566265060241
101,Month_24,True,5,0.8762886597938144,0.8072289156626506
102,Month_24,True,6,0.865979381443299,0.8192771084337349
103,Month_24,True,7,0.8582474226804123,0.8072289156626506
104,Month_24,True,8,0.8376288659793815,0.8192771084337349
105,Month_24,True,9,0.8376288659793815,0.8253012048192772
106,Month_24,True,10,0.8221649484536082,0.8012048192771084
107,Month_24,True,11,0.8247422680412371,0.8072289156626506
108,Month_24,True,12,0.8221649484536082,0.8072289156626506
109,Month_24,True,13,0.8195876288659794,0.8253012048192772
110,Month_36,True,3,0.9298892988929889,0.8362068965517241
111,Month_36,True,4,0.9261992619926199,0.8189655172413793
112,Month_36,True,5,0.915129151291513,0.8275862068965517
113,Month_36,True,6,0.9040590405904059,0.8189655172413793
114,Month_36,True,7,0.8966789667896679,0.8448275862068966
115,Month_36,True,8,0.8856088560885609,0.8275862068965517
116,Month_36,True,9,0.8856088560885609,0.8362068965517241
117,Month_36,True,10,0.8856088560885609,0.8448275862068966
118,Month_36,True,11,0.8892988929889298,0.8448275862068966
119,Month_36,True,12,0.8856088560885609,0.853448275862069
120,Month_36,True,13,0.8782287822878229,0.853448275862069
121,Month_48,True,3,0.9436619718309859,0.8666666666666667
122,Month_48,True,4,0.9014084507042254,0.7
123,Month_48,True,5,0.8591549295774648,0.8
124,Month_48,True,6,0.8591549295774648,0.8666666666666667
125,Month_48,True,7,0.8732394366197183,0.8
126,Month_48,True,8,0.8873239436619719,0.7666666666666667
127,Month_48,True,9,0.8732394366197183,0.7666666666666667
128,Month_48,True,10,0.8732394366197183,0.8
129,Month_48,True,11,0.8591549295774648,0.8333333333333334
130,Month_48,True,12,0.8732394366197183,0.8
131,Month_48,True,13,0.8450704225352113,0.8333333333333334
