,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
172,Month_24,False,3,150,1.0,0.8433734939759037
173,Month_24,False,3,200,1.0,0.8433734939759037
174,Month_24,False,4,25,1.0,0.8433734939759037
175,Month_24,False,4,50,1.0,0.8674698795180723
176,Month_24,False,4,75,1.0,0.8614457831325302
177,Month_24,False,4,100,1.0,0.8674698795180723
178,Month_24,False,4,150,1.0,0.8373493975903614
179,Month_24,False,4,200,1.0,0.8554216867469879
180,Month_24,False,5,25,1.0,0.8132530120481928
181,Month_24,False,5,50,1.0,0.8253012048192772
182,Month_24,False,5,75,1.0,0.8614457831325302
183,Month_24,False,5,100,1.0,0.8493975903614458
184,Month_24,False,5,150,1.0,0.8493975903614458
185,Month_24,False,5,200,1.0,0.8493975903614458
186,Month_24,False,6,25,1.0,0.8674698795180723
187,Month_24,False,6,50,1.0,0.8554216867469879
188,Month_24,False,6,75,1.0,0.8554216867469879
189,Month_24,False,6,100,1.0,0.8433734939759037
190,Month_24,False,6,150,1.0,0.8373493975903614
191,Month_24,False,6,200,1.0,0.8493975903614458
192,Month_24,False,7,25,1.0,0.8132530120481928
193,Month_24,False,7,50,1.0,0.8493975903614458
194,Month_24,False,7,75,1.0,0.8433734939759037
195,Month_24,False,7,100,1.0,0.8433734939759037
196,Month_24,False,7,150,1.0,0.8554216867469879
197,Month_24,False,7,200,1.0,0.8554216867469879
198,Month_24,False,8,25,1.0,0.8313253012048193
199,Month_24,False,8,50,1.0,0.8493975903614458
200,Month_24,False,8,75,1.0,0.8674698795180723
201,Month_24,False,8,100,1.0,0.8554216867469879
202,Month_24,False,8,150,1.0,0.8373493975903614
203,Month_24,False,8,200,1.0,0.8554216867469879
204,Month_24,False,9,25,0.9948453608247423,0.8192771084337349
205,Month_24,False,9,50,0.9948453608247423,0.8012048192771084
206,Month_24,False,9,75,0.9948453608247423,0.8192771084337349
207,Month_24,False,9,100,0.9948453608247423,0.8313253012048193
208,Month_24,False,9,150,0.9948453608247423,0.7951807228915663
209,Month_24,False,9,200,0.9948453608247423,0.8132530120481928
210,Month_24,False,10,25,0.9974226804123711,0.7469879518072289
211,Month_24,False,10,50,0.9974226804123711,0.7650602409638554
212,Month_24,False,10,75,0.9974226804123711,0.7469879518072289
213,Month_24,False,10,100,0.9974226804123711,0.7349397590361446
214,Month_24,False,10,150,0.9974226804123711,0.7530120481927711
215,Month_24,False,10,200,0.9974226804123711,0.7349397590361446
216,Month_36,False,2,25,1.0,0.7931034482758621
217,Month_36,False,2,50,1.0,0.8017241379310345
218,Month_36,False,2,75,1.0,0.7758620689655172
219,Month_36,False,2,100,1.0,0.8017241379310345
220,Month_36,False,2,150,1.0,0.8103448275862069
221,Month_36,False,2,200,1.0,0.8189655172413793
222,Month_36,False,3,25,1.0,0.7758620689655172
223,Month_36,False,3,50,1.0,0.8275862068965517
224,Month_36,False,3,75,1.0,0.8362068965517241
225,Month_36,False,3,100,1.0,0.8189655172413793
226,Month_36,False,3,150,1.0,0.8017241379310345
227,Month_36,False,3,200,1.0,0.8189655172413793
228,Month_36,False,4,25,1.0,0.8189655172413793
229,Month_36,False,4,50,1.0,0.8275862068965517
230,Month_36,False,4,75,1.0,0.8448275862068966
231,Month_36,False,4,100,1.0,0.8362068965517241
232,Month_36,False,4,150,1.0,0.8362068965517241
233,Month_36,False,4,200,1.0,0.8362068965517241
234,Month_36,False,5,25,1.0,0.8103448275862069
235,Month_36,False,5,50,1.0,0.7758620689655172
236,Month_36,False,5,75,1.0,0.8017241379310345
237,Month_36,False,5,100,1.0,0.8275862068965517
238,Month_36,False,5,150,1.0,0.8448275862068966
239,Month_36,False,5,200,1.0,0.8448275862068966
240,Month_36,False,6,25,1.0,0.7844827586206896
241,Month_36,False,6,50,1.0,0.7844827586206896
242,Month_36,False,6,75,1.0,0.8017241379310345
243,Month_36,False,6,100,1.0,0.7844827586206896
244,Month_36,False,6,150,1.0,0.7931034482758621
245,Month_36,False,6,200,1.0,0.7931034482758621
246,Month_36,False,7,25,1.0,0.7758620689655172
247,Month_36,False,7,50,1.0,0.8017241379310345
248,Month_36,False,7,75,1.0,0.7586206896551724
249,Month_36,False,7,100,1.0,0.7586206896551724
250,Month_36,False,7,150,1.0,0.7672413793103449
251,Month_36,False,7,200,1.0,0.75
252,Month_36,False,8,25,1.0,0.7931034482758621
